GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",B19013_001,72481,5640
01003,"Baldwin County, Alabama",B19013_001,78775,2602
01005,"Barbour County, Alabama",B19013_001,46042,5089
01007,"Bibb County, Alabama",B19013_001,52541,8950
01009,"Blount County, Alabama",B19013_001,64190,3472
01011,"Bullock County, Alabama",B19013_001,31310,9971
01013,"Butler County, Alabama",B19013_001,44755,2896
01015,"Calhoun County, Alabama",B19013_001,55029,2763
01017,"Chambers County, Alabama",B19013_001,49656,3919
01019,"Cherokee County, Alabama",B19013_001,53863,4463
01021,"Chilton County, Alabama",B19013_001,65603,4047
01023,"Choctaw County, Alabama",B19013_001,47813,8438
01025,"Clarke County, Alabama",B19013_001,49249,3377
01027,"Clay County, Alabama",B19013_001,55250,6691
01029,"Cleburne County, Alabama",B19013_001,55345,6656
01031,"Coffee County, Alabama",B19013_001,68353,3218
01033,"Colbert County, Alabama",B19013_001,60628,3733
01035,"Conecuh County, Alabama",B19013_001,41327,3467
01037,"Coosa County, Alabama",B19013_001,57355,5303
01039,"Covington County, Alabama",B19013_001,52456,3788
01041,"Crenshaw County, Alabama",B19013_001,48560,5509
01043,"Cullman County, Alabama",B19013_001,62656,3563
01045,"Dale County, Alabama",B19013_001,54963,3147
01047,"Dallas County, Alabama",B19013_001,35627,3641
01049,"DeKalb County, Alabama",B19013_001,51204,2508
01051,"Elmore County, Alabama",B19013_001,78243,3156
01053,"Escambia County, Alabama",B19013_001,48225,3891
01055,"Etowah County, Alabama",B19013_001,54563,2653
01057,"Fayette County, Alabama",B19013_001,49488,7267
01059,"Franklin County, Alabama",B19013_001,53338,6056
01061,"Geneva County, Alabama",B19013_001,52771,5419
01063,"Greene County, Alabama",B19013_001,29200,5134
01065,"Hale County, Alabama",B19013_001,39250,6985
01067,"Henry County, Alabama",B19013_001,59931,6647
01069,"Houston County, Alabama",B19013_001,58626,1551
01071,"Jackson County, Alabama",B19013_001,51908,1987
01073,"Jefferson County, Alabama",B19013_001,66388,1491
01075,"Lamar County, Alabama",B19013_001,50000,7590
01077,"Lauderdale County, Alabama",B19013_001,62649,2965
01079,"Lawrence County, Alabama",B19013_001,66071,5623
01081,"Lee County, Alabama",B19013_001,65824,2432
01083,"Limestone County, Alabama",B19013_001,83629,4065
