state_name,state_abb,turnout,trumppct,harrispct,south,collegepct,winner,coi_score,coi_rating,coi_label
Alabama,AL,58.8,64.8,34.2,1,29.9,Trump,88.6,0,Low Cost
Alaska,AK,63.7,55.5,40.4,0,32.8,Trump,124.9,3,High Cost
Arizona,AZ,63.6,52.6,46.7,0,34.7,Trump,110.7,2,Above Average
Arkansas,AR,53.5,64.2,33.5,1,27.1,Trump,89.6,0,Low Cost
California,CA,62.1,38.3,57.3,0,38.1,Harris,142.3,3,High Cost
Colorado,CO,73.1,43.5,54.4,0,47.8,Harris,102.7,2,Above Average
Connecticut,CT,67.1,41,55.9,0,42.6,Harris,112.7,2,Above Average
Delaware,DE,67,41,56.4,1,36,Harris,101.9,2,Above Average
Florida,FL,66.7,56.1,43,1,35.8,Trump,102.2,2,Above Average
Georgia,GA,68.3,50.7,48.5,1,36.3,Trump,92.5,1,Below Average
Hawaii,HI,50.3,38,60.6,0,37.8,Harris,185,3,High Cost
Idaho,ID,63.4,66.9,30.4,0,33,Trump,99.9,1,Below Average
Illinois,IL,62.6,43.5,54,0,39.2,Harris,94.7,1,Below Average
Indiana,IN,58.6,58.6,39.7,0,30.7,Trump,91,0,Low Cost
Iowa,IA,70.8,56,42.7,0,32.1,Trump,89.7,0,Low Cost
Kansas,KS,63.2,57.2,41,0,36,Trump,88.8,0,Low Cost
Kentucky,KY,62.1,64.6,33.9,1,27.9,Trump,92.5,1,Below Average
Louisiana,LA,60.8,60.2,38.2,1,27.8,Trump,92.3,1,Below Average
Maine,ME,74.2,45.3,52,0,37.1,Harris,113,2,Above Average
Maryland,MD,66,33,61.5,1,44.7,Harris,115.4,3,High Cost
Massachusetts,MA,68.4,36.5,61.2,0,48.3,Harris,141.2,3,High Cost
Michigan,MI,74.7,49.7,48.3,0,33.3,Trump,90.1,0,Low Cost
Minnesota,MN,76.4,47.5,51,0,40,Harris,94.6,1,Below Average
Mississippi,MS,57.5,61.4,37.5,1,27,Trump,87.3,0,Low Cost
Missouri,MO,64.4,58.5,40.1,0,33.5,Trump,89,0,Low Cost
Montana,MT,70,58.5,38.4,0,36.3,Trump,95.5,1,Below Average
Nebraska,NE,68,59.8,38.9,0,35.4,Trump,92.6,1,Below Average
Nevada,NV,65.8,50.6,47.5,0,28.5,Trump,100.2,2,Above Average
New Hampshire,NH,74.4,48.1,50.9,0,41.5,Harris,111.4,2,Above Average
New Jersey,NJ,67.8,46.5,51.5,0,44.5,Harris,115.1,3,High Cost
New Mexico,NM,63,45.8,51.7,0,31.8,Harris,93.7,1,Below Average
New York,NY,63.5,44.2,55.4,0,41.2,Harris,125.1,3,High Cost
North Carolina,NC,70.3,51.1,47.6,1,37.1,Trump,97.8,1,Below Average
North Dakota,ND,63,67.6,30.8,0,34,Trump,91.4,0,Low Cost
Ohio,OH,67.5,55.2,43.9,0,32.4,Trump,94.3,1,Below Average
Oklahoma,OK,53.3,66.2,31.9,1,29.3,Trump,86,0,Low Cost
Oregon,OR,71,42,55.2,0,37.8,Harris,111.8,2,Above Average
Pennsylvania,PA,71.2,50.4,48.7,0,36.4,Trump,97.2,1,Below Average
Rhode Island,RI,64,42.1,55.4,0,39,Harris,110.6,2,Above Average
South Carolina,SC,65,58.2,40.4,1,33.3,Trump,94.7,1,Below Average
South Dakota,SD,64,63.4,34.2,0,34.2,Trump,91.9,0,Low Cost
Tennessee,TN,59,64.2,34.5,1,32.4,Trump,90.3,0,Low Cost
Texas,TX,56.6,56.3,42.4,1,35.2,Trump,92.1,1,Below Average
Utah,UT,68,59.2,38.2,0,39.1,Trump,102.2,2,Above Average
Vermont,VT,68,33,64.3,0,45.1,Harris,113.6,2,Above Average
Virginia,VA,69.8,46.5,51.6,1,43.3,Harris,100.8,2,Above Average
Washington,WA,72,39,58.1,0,41,Harris,114.1,2,Above Average
West Virginia,WV,55.5,70.2,28,1,24.4,Trump,88.3,0,Low Cost
Wisconsin,WI,76.4,49.7,48.7,0,34.6,Trump,97.7,1,Below Average
Wyoming,WY,64,72.3,26.1,0,32.3,Trump,93.7,1,Below Average
